Timestamp,How often do you use YouTube?,Approximately how many hours do you spend on YouTube per week?,"Approximately what percentage (%) of the videos you watch come from YouTube recommendations (home page, post-video recommendations etc.)? (0-100)",What is/are the main reason(s) you click on a recommended video?,What  is/are the main reason(s) you ignore a recommended video?,Which YouTube recommendation surfaces do you regularly use?,"After ignoring a recommendation, what do you usually do?",How many recommended videos do you typically skip/scroll past before choosing one?,Which issue do you face most often with YouTube recommendations?,How often do you feel YouTube recommends the same type of content repeatedly?,How often do recommendations help you discover new creators you like and want to continue watching?,What kind of recommendations would you like to see more of?,What should YouTube prioritize when recommending videos?,How often do recommendations in Shorts help you discover new creators or topics?  ,"If you could improve one aspect of YouTube recommendations, what would it be?","Overall, how satisfied are you with YouTube's recommendation system?",How likely are you to watch more videos if YouTube's recommendations better matched your interests?
2026/07/18 10:04:47 AM GMT+5:30,Daily,10,70,Interesting topic,Not relevant,Home Feed,Search for another video,01-May,Too much clickbait,Often,Often,Similar to my interests,My watch history,,More content variety,9,Likely
2026/07/18 10:46:23 AM GMT+5:30,Multiple times a day,3,80,Interesting topic,Not relevant,Home Feed,Search for another video,Nov-20,Repetitive videos,Very Often,Rarely,New topics,My watch history,,Better recommendations for new interests,4,Likely
2026/07/18 10:49:00 AM GMT+5:30,Multiple times a day,35,10,Interesting topic,Not relevant;Too long,Home Feed,Search for another video,01-May,Too many Shorts,Often,Rarely,Similar to my interests,My watch history,,Better personalization,4,Neutral
2026/07/18 10:49:24 AM GMT+5:30,Multiple times a day,15,20,Attractive thumbnail;Familiar creator,Not relevant;Don't recognize the creator,Shorts Feed,Look for other recommendations,01-May,Irrelevant videos,Very Often,Rarely,Trending content,Trending videos,,Better personalization,6,Likely
2026/07/18 10:49:29 AM GMT+5:30,Several times a week,1,80,Attractive thumbnail;Catchy title,Not relevant;Uninteresting thumbnail;Too long;Don't recognize the creator,Shorts Feed,Search for another video,01-May,Repetitive videos,Often,Sometimes,Similar to my interests,My subscriptions,,More content variety,6,Likely
2026/07/18 10:49:48 AM GMT+5:30,Daily,3,50,Interesting topic;Familiar creator,Not relevant;Too long,Explore,Search for another video,01-May,Irrelevant videos,Often,Rarely,Similar to my interests,Videos similar to what I just watched,,Better personalization,7,Likely
2026/07/18 10:52:53 AM GMT+5:30,Daily,4,90,Interesting topic,Not relevant,Home Feed,Look for other recommendations,01-May,Repetitive videos,Rarely,Very Often,Similar to my interests,My watch history,,More content variety,9,Likely
2026/07/18 10:53:30 AM GMT+5:30,Multiple times a day,15,80,Interesting topic;Attractive thumbnail;Catchy title;Familiar creator;Video duration,Clickbait title;Too long,Home Feed,Look for other recommendations,01-May,Repetitive videos,Often,Rarely,Similar to my interests,My watch history,,More content variety,5,Very Unlikely
2026/07/18 5:20:35 PM GMT+5:30,Daily,1,80,Interesting topic,Too long,Shorts Feed,Watch Shorts,06-Oct,Too many Shorts,Often,Rarely,Similar to my interests,My subscriptions,,Better personalization,4,Likely
2026/07/18 5:55:38 PM GMT+5:30,Rarely,5,70,Interesting topic,Not relevant;Too long,Shorts Feed,Leave YouTube,01-May,Repetitive videos,Sometimes,Often,Similar to my interests;Local/Regional content,My watch history,Often,Better personalization,5,Neutral
2026/07/18 5:59:18 PM GMT+5:30,Daily,7,5,Music ,Not the online generation ,I rarely use recommendations/ I prefer searching,Search for another video,More than 20,Advertisement ,Often,Never,Similar to my interests,My watch history,Rarely,No Advertising ,5,Neutral
2026/07/18 5:59:25 PM GMT+5:30,Rarely,2,5,Just for fun,I'm not interested ,I rarely use recommendations/ I prefer searching,Leave YouTube,01-May,Irrelevant videos,Sometimes,Rarely,Local/Regional content,My searches,Sometimes,Better personalization,3,Neutral
2026/07/18 6:02:01 PM GMT+5:30,Multiple times a day,6,20,Interesting topic;Attractive thumbnail;Catchy title,Not relevant;Uninteresting thumbnail;Clickbait,Feed from subscribed channels;I rarely use recommendations/ I prefer searching,Browse subscriptions,01-May,Irrelevant videos,Very Often,Sometimes,Similar to my interests;New topics,My searches,Sometimes,Better personalization,5,Neutral
2026/07/18 6:04:07 PM GMT+5:30,Daily,3,50,Interesting topic;Catchy title;Familiar creator,Not relevant;Uninteresting thumbnail;Clickbait,Feed from subscribed channels;I rarely use recommendations/ I prefer searching,Leave YouTube,01-May,Too many Shorts,Sometimes,Rarely,Similar to my interests;New topics;Videos related to the topic I am teaching in class ,My searches,Sometimes,Fewer repeated videos,8,Likely
2026/07/18 6:10:05 PM GMT+5:30,Multiple times a day,5,60,Interesting topic;Attractive thumbnail;Catchy title,Not relevant;Uninteresting thumbnail;Too long,Home Feed;Shorts Feed;Feed from subscribed channels,Search for another video,06-Oct,Repetitive videos,Sometimes,Often,Similar to my interests;Trending content;Videos similar to the one I just watched,My searches,Often,Better recommendations for new interests,6,Neutral
2026/07/18 6:10:13 PM GMT+5:30,Several times a week,2,25,Interesting topic;Attractive thumbnail;Familiar creator,Uninteresting thumbnail;Clickbait,Up Next;I rarely use recommendations/ I prefer searching,Search for another video,01-May,Too much clickbait,Often,Sometimes,Similar to my interests;Local/Regional content;Videos similar to the one I just watched,My watch history,Rarely,Better personalization,8,Likely
2026/07/18 6:11:03 PM GMT+5:30,Weekly,1,70,Interesting topic,Clickbait,I rarely use recommendations/ I prefer searching,Search for another video,01-May,Repetitive videos,Very Often,Sometimes,New topics;Trending content,Trending videos,Often,Less clickbait,5,Neutral
2026/07/18 6:12:15 PM GMT+5:30,Daily,1,60,Interesting topic,Too long,I rarely use recommendations/ I prefer searching,Search for another video,01-May,Too much clickbait,Sometimes,Often,Similar to my interests;New topics;Smaller creators;Local/Regional content;Videos similar to the one I just watched,My watch history,Sometimes,More content variety,5,Likely
2026/07/18 6:12:34 PM GMT+5:30,Daily,2,50,Interesting topic,Not relevant,I rarely use recommendations/ I prefer searching,Leave YouTube,01-May,Irrelevant videos,Rarely,Very Often,New topics,Videos similar to what I just watched,Sometimes,More content variety,8,Likely
2026/07/18 6:14:58 PM GMT+5:30,Multiple times a day,1,40,Interesting topic,Clickbait,Explore/Trending,Leave YouTube,01-May,Irrelevant videos,Often,Rarely,Similar to my interests,Trending videos,Sometimes,Fewer repeated videos,5,Neutral
2026/07/18 6:17:17 PM GMT+5:30,Several times a week,6,10,Interesting topic;Familiar creator,Not relevant,I rarely use recommendations/ I prefer searching,Search for another video,01-May,Too many Shorts,Very Often,Sometimes,Similar to my interests,My subscriptions,Never,Better recommendations for new interests,3,Very Likely
2026/07/18 6:19:01 PM GMT+5:30,Multiple times a day,21,70,Interesting topic;Familiar creator,Not relevant;Uninteresting thumbnail,Home Feed;Up Next;Explore/Trending,Look for other recommendations,06-Oct,Too many Shorts,Often,Often,Similar to my interests;New topics;Smaller creators;Local/Regional content,Videos similar to what I just watched,Sometimes,More content variety,8,Likely
2026/07/18 6:19:56 PM GMT+5:30,Several times a week,10,10,Familiar creator,Don't recognize the creator,I rarely use recommendations/ I prefer searching,Browse subscriptions,Nov-20,Repetitive videos,Very Often,Never,Similar to my interests,My watch history,Never,Less clickbait,6,Neutral
2026/07/18 6:22:52 PM GMT+5:30,Daily,7,40,Interesting topic,Not relevant,I rarely use recommendations/ I prefer searching,Search for another video,06-Oct,Irrelevant videos,Often,Sometimes,Similar to my interests,Trending videos,Sometimes,More content variety,5,Neutral
2026/07/18 6:23:47 PM GMT+5:30,Weekly,1,10,Interesting topic,Not relevant,Shorts Feed,Watch Shorts,01-May,Irrelevant videos,Often,Sometimes,Trending content,My watch history,Sometimes,More content variety,6,Neutral
2026/07/18 6:24:11 PM GMT+5:30,Multiple times a day,40,40,Interesting topic,Clickbait,I rarely use recommendations/ I prefer searching,Search for another video,06-Oct,Too many Shorts,Often,Sometimes,Similar to my interests,Videos similar to what I just watched,Often,More content variety,4,Likely
2026/07/18 6:26:13 PM GMT+5:30,Several times a week,10,0,Interesting topic;Video duration,Too long,I rarely use recommendations/ I prefer searching,Search for another video,Nov-20,Repetitive videos,Sometimes,Very Often,Similar to my interests,Videos similar to what I just watched,Sometimes,Fewer repeated videos,5,Neutral
2026/07/18 6:26:15 PM GMT+5:30,Several times a week,1,25,Interesting topic,Not relevant,Explore/Trending;I rarely use recommendations/ I prefer searching,Search for another video,01-May,Too much clickbait,Often,Rarely,Similar to my interests,My searches,Rarely,Less clickbait,5,Neutral
2026/07/18 6:27:35 PM GMT+5:30,Rarely,12,70,Interesting topic,Uninteresting thumbnail,Home Feed,Watch Shorts,06-Oct,Irrelevant videos,Rarely,Sometimes,Similar to my interests,Videos similar to what I just watched,Rarely,Fewer repeated videos,8,Neutral
