usage_frequency,weekly_hours,recommendation_watch_pct,fallback_action,skip_count_range,primary_issue,repetition_frequency,creator_discovery_frequency,recommendation_priority,shorts_discovery_frequency,desired_improvement,satisfaction_score,watch_more_likelihood,skip_count_numeric,click_archetype,click_reasons_count,click_topic_flag,click_creator_flag,click_packaging_flag,ignore_archetype,ignore_reasons_count,ignore_relevance_flag,ignore_packaging_flag,ignore_duration_flag,surface_archetype,surfaces_count,surface_home_flag,surface_shorts_flag,surface_subscriptions_flag,discovery_orientation,desired_count,desired_exploitation_flag,desired_exploration_flag
Daily,10,70.0,Search for another video,1-5,Too much clickbait,Often,Often,My watch history,,More content variety,9,Likely,3,Topic_Driven,1,1,0,0,Relevance_Friction,1,1,0,0,Home_Exclusive,1,1,0,0,Exploitation_Focused,1,1,0
Multiple times a day,3,80.0,Search for another video,11-20,Repetitive videos,Very Often,Rarely,My watch history,,Better recommendations for new interests,4,Likely,15,Topic_Driven,1,1,0,0,Relevance_Friction,1,1,0,0,Home_Exclusive,1,1,0,0,Exploration_Focused,1,0,1
Multiple times a day,35,10.0,Search for another video,1-5,Too many Shorts,Often,Rarely,My watch history,,Better personalization,4,Neutral,3,Topic_Driven,1,1,0,0,Compound_Friction,2,1,0,1,Home_Exclusive,1,1,0,0,Exploitation_Focused,1,1,0
Multiple times a day,15,20.0,Look for other recommendations,1-5,Irrelevant videos,Very Often,Rarely,Trending videos,,Better personalization,6,Likely,3,Packaging_Influenced,2,0,1,1,Relevance_Friction,2,1,0,0,Shorts_Primary,1,0,1,0,Exploration_Focused,1,0,1
Several times a week,1,80.0,Search for another video,1-5,Repetitive videos,Often,Sometimes,My subscriptions,,More content variety,6,Likely,3,Packaging_Driven,2,0,0,1,Compound_Friction,4,1,1,1,Shorts_Primary,1,0,1,0,Exploitation_Focused,1,1,0
Daily,3,50.0,Search for another video,1-5,Irrelevant videos,Often,Rarely,Videos similar to what I just watched,,Better personalization,7,Likely,3,Content_Creator_Blend,2,1,1,0,Compound_Friction,2,1,0,1,Home_Hybrid,1,0,0,0,Exploitation_Focused,1,1,0
Daily,4,90.0,Look for other recommendations,1-5,Repetitive videos,Rarely,Very Often,My watch history,,More content variety,9,Likely,3,Topic_Driven,1,1,0,0,Relevance_Friction,1,1,0,0,Home_Exclusive,1,1,0,0,Exploitation_Focused,1,1,0
Multiple times a day,15,80.0,Look for other recommendations,1-5,Repetitive videos,Often,Rarely,My watch history,,More content variety,5,Very Unlikely,3,Packaging_Influenced,5,1,1,1,Compound_Friction,2,0,1,1,Home_Exclusive,1,1,0,0,Exploitation_Focused,1,1,0
Daily,1,80.0,Watch Shorts,6-10,Too many Shorts,Often,Rarely,My subscriptions,,Better personalization,4,Likely,8,Topic_Driven,1,1,0,0,Duration_Friction,1,0,0,1,Shorts_Primary,1,0,1,0,Exploitation_Focused,1,1,0
Rarely,5,70.0,Leave YouTube,1-5,Repetitive videos,Sometimes,Often,My watch history,Often,Better personalization,5,Neutral,3,Topic_Driven,1,1,0,0,Compound_Friction,2,1,0,1,Shorts_Primary,1,0,1,0,Exploitation_Focused,2,1,0
Daily,7,5.0,Search for another video,>20,Advertisements,Often,Never,My watch history,Rarely,Less / No Advertising,5,Neutral,25,Topic_Driven,1,1,0,0,Relevance_Friction,1,1,0,0,Search_Oriented,1,0,0,0,Exploitation_Focused,1,1,0
Rarely,2,5.0,Leave YouTube,1-5,Irrelevant videos,Sometimes,Rarely,My searches,Sometimes,Better personalization,3,Neutral,3,Topic_Driven,1,1,0,0,Relevance_Friction,1,1,0,0,Search_Oriented,1,0,0,0,Exploitation_Focused,1,1,0
Multiple times a day,6,20.0,Browse subscriptions,1-5,Irrelevant videos,Very Often,Sometimes,My searches,Sometimes,Better personalization,5,Neutral,3,Packaging_Influenced,3,1,0,1,Compound_Friction,3,1,1,0,Search_Oriented,2,0,0,1,Balanced_Discovery,2,1,1
Daily,3,50.0,Leave YouTube,1-5,Too many Shorts,Sometimes,Rarely,My searches,Sometimes,Fewer repeated videos,8,Likely,3,Packaging_Influenced,3,1,1,1,Compound_Friction,3,1,1,0,Search_Oriented,2,0,0,1,Balanced_Discovery,3,1,1
Multiple times a day,5,60.0,Search for another video,6-10,Repetitive videos,Sometimes,Often,My searches,Often,Better recommendations for new interests,6,Neutral,8,Packaging_Influenced,3,1,0,1,Compound_Friction,3,1,1,1,Omni_Surface,3,1,1,1,Balanced_Discovery,3,1,1
Several times a week,2,25.0,Search for another video,1-5,Too much clickbait,Often,Sometimes,My watch history,Rarely,Better personalization,8,Likely,3,Packaging_Influenced,3,1,1,1,Packaging_Friction,2,0,1,0,Search_Oriented,2,0,0,0,Exploitation_Focused,3,1,0
