usage_frequency,weekly_hours,recommendation_watch_pct,fallback_action,skip_count_range,primary_issue,repetition_frequency,creator_discovery_frequency,recommendation_priority,shorts_discovery_frequency,desired_improvement,satisfaction_score,watch_more_likelihood,skip_count_numeric,click_archetype,click_reasons_count,click_topic_flag,click_creator_flag,click_packaging_flag,ignore_archetype,ignore_reasons_count,ignore_relevance_flag,ignore_packaging_flag,ignore_duration_flag,surface_archetype,surfaces_count,surface_home_flag,surface_shorts_flag,surface_subscriptions_flag,discovery_orientation,desired_count,desired_exploitation_flag,desired_exploration_flag
Daily,10,20.0,Browse subscriptions,11-20,Irrelevant videos,Often,Sometimes,My searches,Often,More content variety,7,Neutral,15,Topic_Driven,1,1,0,0,Compound_Friction,1,0,0,0,Subscription_Primary,2,0,0,1,Exploration_Focused,2,0,1
Several times a week,7,40.0,Leave YouTube,>20,Irrelevant videos,Very Often,Often,My searches,Rarely,Less clickbait,5,Neutral,25,Packaging_Influenced,2,1,0,1,Compound_Friction,2,1,1,0,Shorts_Primary,2,0,1,0,Balanced_Discovery,3,1,1
Daily,2,10.0,Watch Shorts,1-5,Repetitive videos,Never,Never,My watch history,Never,Better personalization,2,Very Unlikely,3,Topic_Driven,1,1,0,0,Relevance_Friction,1,1,0,0,Shorts_Primary,1,0,1,0,Exploration_Focused,1,0,1
Multiple times a day,5,70.0,Search for another video,6-10,Repetitive videos,Sometimes,Often,My searches,Often,Better recommendations for new interests,7,Neutral,8,Packaging_Influenced,3,1,0,1,Compound_Friction,3,1,1,1,Omni_Surface,3,1,1,1,Balanced_Discovery,3,1,1
Several times a week,2,0.0,Leave YouTube,6-10,Too many Shorts,Sometimes,Sometimes,My searches,Often,More content variety,6,Neutral,8,Packaging_Influenced,2,1,0,1,Compound_Friction,3,1,1,1,Search_Oriented,1,0,0,0,Balanced_Discovery,3,1,1
Daily,1,5.0,Browse subscriptions,6-10,Repetitive videos,Never,Never,Videos similar to what I just watched,Never,More content variety,5,Very Likely,8,Packaging_Driven,1,0,0,1,Packaging_Friction,1,0,1,0,Shorts_Primary,1,0,1,0,Exploitation_Focused,1,1,0
Multiple times a day,12,80.0,Look for other recommendations,6-10,Repetitive videos,Often,Often,My watch history,Rarely,More content variety,5,Neutral,8,Packaging_Influenced,3,1,1,1,Compound_Friction,1,1,1,0,Omni_Surface,3,1,0,1,Balanced_Discovery,3,1,1
Several times a week,7,10.0,Search for another video,1-5,Too many Shorts,Very Often,Sometimes,My subscriptions,Never,Better recommendations for new interests,2,Very Likely,3,Content_Creator_Blend,2,1,1,0,Relevance_Friction,1,1,0,0,Search_Oriented,1,0,0,0,Exploitation_Focused,1,1,0
Daily,10,10.0,Browse subscriptions,11-20,Irrelevant videos,Often,Sometimes,My searches,Often,More content variety,6,Neutral,15,Topic_Driven,1,1,0,0,Compound_Friction,1,0,0,0,Subscription_Primary,2,0,0,1,Exploration_Focused,2,0,1
Daily,7,60.0,Search for another video,1-5,Old/outdated videos,Never,Rarely,My searches,Rarely,Less clickbait,7,Likely,3,Topic_Driven,1,1,0,0,Relevance_Friction,1,1,0,0,Home_Exclusive,2,1,0,0,Balanced_Discovery,3,1,1
Multiple times a day,13,80.0,Search for another video,11-20,Too many Shorts,Rarely,Never,My watch history,Never,Better personalization,1,Very Unlikely,15,Topic_Driven,1,1,0,0,Compound_Friction,2,1,1,0,Home_Exclusive,1,1,0,0,Exploitation_Focused,1,1,0
